Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,EEG Fp1         ,                                                                                ,uV      ,-44.063000,38.380360,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
2,EEG Fp2         ,                                                                                ,uV      ,-81.341800,76.311170,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
3,EEG F3          ,                                                                                ,uV      ,-28.710300,31.692470,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
4,EEG F4          ,                                                                                ,uV      ,-40.249800,34.494280,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
5,EEG F7          ,                                                                                ,uV      ,-33.956800,27.206910,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
6,EEG F8          ,                                                                                ,uV      ,-22.734600,23.572630,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
7,EEG T3          ,                                                                                ,uV      ,-30.056800,35.887920,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
8,EEG T4          ,                                                                                ,uV      ,-28.677100,27.413950,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
9,EEG C3          ,                                                                                ,uV      ,-33.950200,35.527650,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
10,EEG C4          ,                                                                                ,uV      ,-35.730600,37.449500,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
11,EEG T5          ,                                                                                ,uV      ,-26.405300,24.376120,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
12,EEG T6          ,                                                                                ,uV      ,-51.344400,42.936140,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
13,EEG P3          ,                                                                                ,uV      ,-38.221800,50.121540,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
14,EEG P4          ,                                                                                ,uV      ,-37.258800,34.876620,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
15,EEG O1          ,                                                                                ,uV      ,-42.095300,44.659260,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
16,EEG O2          ,                                                                                ,uV      ,-44.449500,44.192140,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
17,EEG Fz          ,                                                                                ,uV      ,-31.360600,31.994080,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
18,EEG Cz          ,                                                                                ,uV      ,-34.134900,32.500680,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
19,EEG Pz          ,                                                                                ,uV      ,-37.147300,32.842440,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
20,EEG A2-A1       ,                                                                                ,uV      ,-51.528300,47.832990,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
21,ECG ECG         ,                                                                                ,mV      ,-0.123480,0.435738,-32768,32767,HP:0.500000Hz LP:45.000000Hz RF:50Hz                                            ,500,                                
